src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.0.101,192.168.0.1,58655,53,17,2024-08-14 11:20:08,7120.0,25280.898876404495,280.8988764044944,140.4494382022472,140.4494382022472,1,1,76,104,76.0,76.0,76.0,0.0,104.0,104.0,104.0,0.0,104,76,90.0,14.0,196.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,90.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,104.0,0,1,1,76,104
192.168.0.101,192.168.0.1,62604,53,17,2024-08-14 11:20:08,6129.0,27410.67058247675,326.31750693424704,163.15875346712352,163.15875346712352,1,1,76,92,76.0,76.0,76.0,0.0,92.0,92.0,92.0,0.0,92,76,84.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,84.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,92.0,0,1,1,76,92
48.218.107.61,192.168.0.101,443,58109,6,2024-08-14 11:20:09,50.0,2160000.0,40000.0,20000.0,20000.0,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,2048,511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
52.123.128.14,192.168.0.101,443,58116,6,2024-08-14 11:20:09,45.0,2400000.0,44444.444444444445,22222.222222222223,22222.222222222223,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,16383,514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
13.126.70.76,192.168.0.101,443,57797,6,2024-08-14 11:20:10,0.0,0,0,0,0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,54,0
20.42.65.88,192.168.0.101,443,58111,6,2024-08-14 11:20:10,85.0,1270588.2352941176,23529.41176470588,11764.70588235294,11764.70588235294,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,16385,513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
192.168.0.101,44.224.208.42,58113,443,6,2024-08-14 11:20:10,298491.0,931.3513640277262,13.400739050758649,6.700369525379324,6.700369525379324,2,2,139,139,85.0,54.0,69.5,15.5,85.0,54.0,69.5,15.5,85,54,69.5,15.5,240.25,40,40,20,1,99497.0,256879.0,0.0,112575.04187281773,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,69.5,513,180,0.0,0.0,0.0,0.0,256879.0,41612.0,149245.5,107633.5,0.0,0.0,0.0,0.0,0.0,0.0,69.5,69.5,0,2,2,139,139
163.70.144.61,192.168.0.101,443,58127,6,2024-08-14 11:20:11,2867137.0,272.74594831010864,2.092679910307739,1.3951199402051593,0.6975599701025796,4,2,580,202,308.0,54.0,145.0,104.273678366115,102.0,100.0,101.0,1.0,308,54,130.33333333333334,87.63117152145247,7679.2222222222235,80,40,20,2,573427.4,2788596.0,18355.0,1107584.8834556383,2867137.0,2788596.0,36894.0,955712.3333333334,1296045.922386583,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,130.33333333333334,265,512,0.0,0.0,0.0,0.0,2770057.0,18355.0,1394206.0,1375851.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,101.0,0,4,2,580,202
13.126.70.76,192.168.0.101,443,57802,6,2024-08-14 11:20:11,0.0,0,0,0,0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,54,0
13.126.70.76,192.168.0.101,443,57799,6,2024-08-14 11:20:11,0.0,0,0,0,0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,54,0
13.126.70.76,192.168.0.101,443,57800,6,2024-08-14 11:20:11,0.0,0,0,0,0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,54,0
13.126.70.76,192.168.0.101,443,57798,6,2024-08-14 11:20:11,0.0,0,0,0,0,1,0,54,0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,54,54,54.0,0.0,0.0,20,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,54.0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0,1,0,54,0
142.250.66.10,192.168.0.101,443,63640,17,2024-08-14 11:20:11,15136117.0,221.85346479549543,1.2552757090870796,0.660671425835305,0.5946042832517745,10,9,948,2410,147.0,65.0,94.8,33.180717291824784,1292.0,75.0,267.77777777777777,390.2314919172344,1292,65,176.73684210526315,283.1465757862902,80171.9833795014,80,72,8,10,840895.3888888889,13686304.0,0.0,3118101.5759088476,15136117.0,13686304.0,0.0,1681790.7777777778,4247185.244132395,15092273.0,13729708.0,86.0,1886534.125,4478586.276261167,0,0,0,0,1,0,0,0,0,0,0,0.9,176.73684210526315,0,0,13686304.0,11336.0,2489866.0,5008612.801256086,13653430.0,10530.0,1496973.3,4054569.187187611,0.0,0.0,0.0,0.0,0.0,0.0,94.8,267.77777777777777,0,10,9,948,2410
192.168.0.101,192.168.0.1,54359,53,17,2024-08-14 11:20:11,3030.0,65346.53465346534,660.06600660066,330.03300330033,330.03300330033,1,1,91,107,91.0,91.0,91.0,0.0,107.0,107.0,107.0,0.0,107,91,99.0,8.0,64.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,99.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,107.0,0,1,1,91,107
192.168.0.101,192.168.0.1,52706,53,17,2024-08-14 11:20:11,2785.0,83303.41113105924,718.132854578097,359.0664272890485,359.0664272890485,1,1,91,141,91.0,91.0,91.0,0.0,141.0,141.0,141.0,0.0,141,91,116.0,25.0,625.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,116.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,141.0,0,1,1,91,141
192.168.0.101,142.250.66.10,51126,443,17,2024-08-14 11:20:11,14798065.0,1232.2557037018016,2.567903303573812,1.2163752490612794,1.3515280545125326,18,20,7623,10612,1292.0,71.0,423.5,496.91965033482916,1292.0,63.0,530.6,551.0180940767735,1292,63,479.86842105263156,528.7973032742683,279626.5879501385,144,160,8,18,399947.7027027027,14035282.0,0.0,2272899.1359618804,14756716.0,14075437.0,16.0,868042.1176470588,3302271.861058417,14775402.0,14075952.0,0.0,777652.7368421053,3135305.7037395868,0,0,0,0,1,0,0,0,0,0,0,1.1111111111111112,479.86842105263156,0,0,14005889.0,160.0,2061783.857142857,4876620.277627367,13995127.0,5426.0,1206126.3333333333,3856285.8261951,4369.0,5.0,4465.0,5.0,14466887.417218544,0.0,423.5,530.6,0,18,20,7623,10612
23.57.37.55,192.168.0.101,443,58125,6,2024-08-14 11:20:11,44.0,2454545.4545454546,45454.545454545456,22727.272727272728,22727.272727272728,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,501,517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
20.198.118.190,192.168.0.101,443,49420,6,2024-08-14 11:20:12,46.0,2347826.086956522,43478.260869565216,21739.130434782608,21739.130434782608,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,7705,514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
23.57.37.55,192.168.0.101,443,58126,6,2024-08-14 11:20:12,34.0,3176470.588235294,58823.529411764706,29411.764705882353,29411.764705882353,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,501,513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
52.42.232.2,192.168.0.101,443,58121,6,2024-08-14 11:20:13,86.0,1255813.953488372,23255.81395348837,11627.906976744185,11627.906976744185,1,1,54,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,20,20,20,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,54.0,118,517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,1,1,54,54
